PlayerId|Position|Player|Salary
296|PG/SG|Avery Bradley|5438.95472631899
297|PF|Kris Humphries|2885.48118964181
298|SF|Gerald Wallace|NA
299|C|Kelly Olynyk|4085.69595836924
300|PG|Phil Pressey|NA
301|C|Vitor Faverani|NA
302|SF|Otto Porter|NA
303|C|Brook Lopez|6305.90442209454
304|SG/SF|Joe Johnson|4045.85868753625
305|PG|Deron Williams|4856.62066396583
306|PF|Andray Blatche|NA
307|PG|Shaun Livingston|3117.44506547878
308|PF|Mirza Teletovic|3393.98067932778
309|PF|Reggie Evans|NA
310|SF|Carmelo Anthony|7328.45995438402
311|SG|J.R. Smith|NA
312|C|Tyson Chandler|4191.5697682492
313|PG|Beno Udrih|3190.69832344731
314|PG/SG|Iman Shumpert|3796.5351560615
315|SG|Tim Hardaway Jr.|5269.39307471272
316|PG|Toure Murry|NA
317|PF|Ersan Ilyasova|4459.91571596609
318|PF/C|John Henson|4233.8675248068
319|SF/SG/PF|Giannis Antetokounmpo|10082.0491830315
320|PG|Nate Wolters|2832.9335491173
321|C/PF|Ekpe Udoh|3283.67519278652
322|PF/C|Joel Freeland|NA
323|C/PF|Kevin Love|7572.73363434545
324|C|Nikola Pekovic|NA
325|PF|Luc Mbah a Moute|3566.6919245728
326|PF|Jon Leuer|4338.32594749495
327|SG|Nick Calathes|NA
328|SG/G|Jamaal Franklin|NA
329|PF|Dirk Nowitzki|5533.75426194161
330|SG|Monta Ellis|4221.81271418338
331|PG|Shane Larkin|3497.23442051923
332|C|Samuel Dalembert|NA
333|PG|Gal Mekel|NA
334|PG/SG|Cory Joseph|3775.75510351665
335|SG|Manu Ginobili|3632.0411799528
336|C/PF|Jeff Ayres|NA
337|C/PF|Channing Frye|3562.74662162774
338|C|Miles Plumlee|3434.31786311885
339|SG|Archie Goodwin|3218.30436318181
340|SF|Mike Dunleavy|2910.74228857355
341|PG|Marquis Teague|NA
342|SG/SF|Tony Snell|3219.64215102373
343|C|Erik Murphy|NA
344|PF|Terrence Jones|4777.00613693231
345|PG/SG|Patrick Beverley|5568.74024225505
346|SF|Omri Casspi|3267.13650085026
347|SG|Ronnie Brewer|NA
348|SG|Eric Gordon|4973.25156939362
349|SG|Anthony Morrow|2856.0611764458
350|C|Steven Adams|5246.22743727308
351|SF/SG|Jeremy Lamb|4393.23121814057
352|PG|Derek Fisher|NA
353|SF|Perry Jones|NA
354|PF/SG/SF|Andre Roberson|3825.70479026706
355|C|Aron Baynes|3849.08062650574
356|SG|Nando De Colo|NA
357|SG/SF|Kent Bazemore|4764.89032962782
358|PF/C|Mason Plumlee|4973.24019462785
359|SF/SG|Hollis Thompson|3333.41797823982
360|PG|Michael Carter-Williams|3440.89504052518
361|SG|Tony Wroten|NA
362|SF/SG|James Anderson|NA
363|PF|Brandon Davies|NA
364|PG|Trey Burke|3299.46076920972
365||Michael Harris|NA
366|C|Al Horford|7462.11624929139
367|SF/SG|Kyle Korver|3392.54872010669
368|PG|Jeff Teague|7154.13249144462
369|PG|Dennis Schroder|6925.79254886174
370|C|Miroslav Raduljica|NA
371|PG|Darius Morris|NA
372|SF|Danny Granger|NA
373|SG|Orlando Johnson|NA
374|PF|Quincy Acy|3018.29809887335
375|SG|James White|NA
376|PG|Raymond Felton|3420.8512497553
377|PG|Jason Kidd|NA
378|PF|Amar'e Stoudemire|NA
379|SF/PF|Steve Novak|2819.61889020167
380|PF|Donatas Motiejunas|2877.42362076143
381|PF|Hakim Warrick|NA
382|PF|Jeff Adrien|NA
383|C|Zaza Pachulia|3248.68986051078
384|PG|Devin Harris|3193.74983678298
385|PF|Ivan Johnson|NA
386|C|Johan Petro|NA
387|PF|Anthony Tolliver|3617.1071307037
388|PF|Kevin Jones|NA
389|PG|Jeremy Pargo|NA
390|C|Larry Sanders|3165.39624435827
391|PF|Patrick Patterson|3539.7779380266
392|PF/SF-PF|Lance Thomas|3180.85745314602
393|SF|Andrei Kirilenko|NA
394|PF/SF|Derrick Williams|2962.3734341495
395|SF|Lazar Hayward|NA
396|PF|Lou Amundson|NA
397|SF/SG|DeAndre Liggins|3211.44901784914
398|SF|DeQuan Jones|NA
399|SF|Maurice Harkless|4458.14892411531
400|C|Chris Kaman|NA
401|PG|Mike James|4348.89371691453
402|SF|Matt Barnes|4116.5954664042
403|PF|Darrell Arthur|3302.22351921289
404|PG|Charles Jenkins|NA
405|C|Andris Biedrins|NA
406|PF/SF|Chris Copeland|NA
407|C|Marcus Camby|NA
408|PG|Pablo Prigioni|NA
409|PF|Kurt Thomas|NA
410|PG/SF|John Salmons|NA
411|PF/C|Joel Anthony|3048.40764333282
412|SF|Luke Babbitt|3053.41665769241
413|PG|Ronnie Price|3018.75599082559
414|SF|Jeff Taylor|NA
415|SG|Glen Rice Jr.|NA
416|PF|Kenyon Martin|NA
417|C|Cole Aldrich|3234.66849655802
418|SF|Tornike Shengelia|NA
419|SF|Reggie Bullock|3459.39964416544
420|PG|Dwight Buycks|3019.97861649672
421|SG|Ben McLemore|3321.80075741683
422||Hamady Ndiaye|NA
423|PF|Travis Outlaw|NA
424|SF|Gigi Datome|NA
425|SF|Tony Mitchell|NA
426|SG|Peyton Siva|NA
427|SG/SF|Xavier Henry|NA
428|SG/SF|Shawne Williams|NA
429|PG|Jordan Farmar|3181.54593841173
430|PG|Tyshawn Taylor|NA
431|C/PF|Cody Zeller|4673.69493836382
432|PG|Derrick Rose|5610.73644686583
433|C|Timofey Mozgov|3457.35070717211
434|C|Ognjen Kuzmic|NA
435|SG|Nemanja Nedovic|NA
436|C|Dewayne Dedmon|3725.40041614546
437|C|Rudy Gobert|6844.9503745652
438|SG|Ian Clark|2968.4121202356
439|SF|Robbie Hummel|NA
440|PF|Gustavo Ayon|NA
441|SF|James Jones|2858.66896044463
442|C|Chris Andersen|3086.72558194958
443|PG|Royal Ivey|NA
444|C|Alex Len|3884.4943567412
445|PG|CJ Watson|NA
446|SF/PF|Anthony Bennett|3076.05654167477
447|SG/PG|Matthew Dellavedova|4050.77821563569
448|C|Henry Sims|NA
449|C|Jeremy Tyler|NA
450|PF|Chris Wilcox|NA
451|SF|Terrence Williams|NA
452|C|Fab Melo|NA
453|PF|Vladimir Radmanovic|NA
454|SF|Grant Hill|NA
455|C|Viacheslav Kravtsov|NA
456|PG|Ben Hansbrough|NA
457|SF|Keith Bogans|NA
458|SG|MarShon Brooks|NA
459|SG|DeShawn Stevenson|NA
460|SF|Austin Daye|NA
461|PF|Shavlik Randolph|NA
462||DJ White|NA
463|PF|Juwan Howard|NA
464|PF|Solomon Jones|NA
465|PF|Daniel Orton|NA
466|PF|Al Harrington|NA
467|SG/PG|Julyan Stone|3189.32804879732
468|SG|Ricky Ledo|NA
469|PF|Ryan Gomes|NA
470|C/PF|Gorgui Dieng|4991.34290249486
471|SG/SF|Shabazz Muhammad|3658.8129660527
472|SG|Will Barton|5873.95460944127
473|SF|Victor Claver|NA
474|SG|Allen Crabbe|4565.74167266368
475|PF|Anthony Randolph|NA
476|SF|Dionte Christmas|NA
477|SF/SG|Sergey Karasev|NA
478|PG|Ray McCallum|NA
479|PG/G|Lorenzo Brown|3083.75548096374
480|SG|Elliot Williams|NA
481|C|Andrew Bynum|NA
482|C|Jeff Withey|2985.45113101018
483|PF|Ryan Kelly|3212.6399982255
484|SF|Elias Harris|NA
485|PG/SG|Victor Oladipo|6523.4140673439
486|SG|Doron Lamb|NA
